genre,publisher,count,publisher_total,genre_total,publisher_share,genre_share
Biography & Autobiography,Cambridge University Press,20,1486,6324,1.3458950201884252,0.31625553447185323
Biography & Autobiography,Courier Corporation,12,1120,6324,1.0714285714285714,0.18975332068311196
Biography & Autobiography,Hachette UK,44,615,6324,7.154471544715448,0.6957621758380772
Biography & Autobiography,Harper Collins,84,1939,6324,4.332129963898916,1.3282732447817838
Biography & Autobiography,HarperCollins,36,628,6324,5.7324840764331215,0.5692599620493358
Biography & Autobiography,Houghton Mifflin Harcourt,33,893,6324,3.6954087346024638,0.5218216318785579
Biography & Autobiography,John Wiley & Sons,6,2036,6324,0.29469548133595286,0.09487666034155598
Biography & Autobiography,Macmillan,122,1233,6324,9.89456609894566,1.929158760278305
Biography & Autobiography,Open Road Media,88,983,6324,8.952187182095624,1.3915243516761544
Biography & Autobiography,Oxford University Press,18,813,6324,2.214022140221402,0.2846299810246679
Biography & Autobiography,"Oxford University Press, USA",22,758,6324,2.9023746701846966,0.3478810879190386
Biography & Autobiography,Penguin,120,2871,6324,4.179728317659352,1.8975332068311195
Biography & Autobiography,Random House,96,853,6324,11.254396248534585,1.5180265654648957
Biography & Autobiography,Routledge,14,2398,6324,0.5838198498748958,0.2213788741302973
Biography & Autobiography,Simon and Schuster,321,3548,6324,9.047350620067645,5.075901328273245
Biography & Autobiography,Univ of California Press,22,590,6324,3.728813559322034,0.3478810879190386
Biography & Autobiography,Vintage,113,1022,6324,11.056751467710372,1.786843769765971
Biography & Autobiography,W. W. Norton & Company,71,578,6324,12.283737024221452,1.122707147375079
Biography & Autobiography,iUniverse,99,970,6324,10.206185567010309,1.5654648956356736
Business & Economics,Cambridge University Press,90,1486,5625,6.056527590847914,1.6
Business & Economics,Courier Corporation,3,1120,5625,0.26785714285714285,0.05333333333333334
Business & Economics,Hachette UK,17,615,5625,2.7642276422764227,0.3022222222222222
Business & Economics,Harper Collins,55,1939,5625,2.8365136668385764,0.9777777777777777
Business & Economics,HarperCollins,13,628,5625,2.0700636942675157,0.2311111111111111
Business & Economics,Houghton Mifflin Harcourt,20,893,5625,2.2396416573348263,0.35555555555555557
Business & Economics,John Wiley & Sons,572,2036,5625,28.094302554027507,10.168888888888889
Business & Economics,Macmillan,19,1233,5625,1.5409570154095702,0.3377777777777778
Business & Economics,Open Road Media,2,983,5625,0.20345879959308238,0.035555555555555556
Business & Economics,Oxford University Press,32,813,5625,3.936039360393604,0.5688888888888889
Business & Economics,"Oxford University Press, USA",25,758,5625,3.2981530343007917,0.4444444444444444
Business & Economics,Penguin,100,2871,5625,3.4831069313827934,1.7777777777777777
Business & Economics,Random House,14,853,5625,1.6412661195779603,0.2488888888888889
Business & Economics,Routledge,221,2398,5625,9.216013344453712,3.928888888888889
Business & Economics,Simon and Schuster,121,3548,5625,3.410372040586246,2.151111111111111
Business & Economics,Springer Science & Business Media,40,886,5625,4.514672686230249,0.7111111111111111
Business & Economics,Univ of California Press,16,590,5625,2.711864406779661,0.28444444444444444
Business & Economics,Vintage,7,1022,5625,0.684931506849315,0.12444444444444445
Business & Economics,W. W. Norton & Company,19,578,5625,3.2871972318339098,0.3377777777777778
Business & Economics,iUniverse,38,970,5625,3.917525773195876,0.6755555555555556
Computers,Cambridge University Press,42,1486,4312,2.826379542395693,0.974025974025974
Computers,Harper Collins,3,1939,4312,0.15471892728210418,0.06957328385899814
Computers,John Wiley & Sons,351,2036,4312,17.239685658153242,8.140074211502784
Computers,Macmillan,1,1233,4312,0.08110300081103002,0.02319109461966605
Computers,Oxford University Press,5,813,4312,0.6150061500615006,0.11595547309833025
Computers,"Oxford University Press, USA",7,758,4312,0.9234828496042217,0.16233766233766234
Computers,Penguin,12,2871,4312,0.41797283176593525,0.27829313543599254
Computers,Routledge,3,2398,4312,0.12510425354462051,0.06957328385899814
Computers,Simon and Schuster,6,3548,4312,0.16910935738444194,0.13914656771799627
Computers,Springer Science & Business Media,154,886,4312,17.381489841986454,3.571428571428571
Computers,Univ of California Press,1,590,4312,0.1694915254237288,0.02319109461966605
Computers,W. W. Norton & Company,1,578,4312,0.17301038062283738,0.02319109461966605
Computers,iUniverse,10,970,4312,1.0309278350515463,0.2319109461966605
Cooking,Courier Corporation,9,1120,2588,0.8035714285714285,0.34775888717156106
Cooking,Hachette UK,8,615,2588,1.3008130081300813,0.3091190108191654
Cooking,Harper Collins,60,1939,2588,3.094378545642084,2.3183925811437405
Cooking,HarperCollins,11,628,2588,1.7515923566878981,0.4250386398763524
Cooking,Houghton Mifflin Harcourt,42,893,2588,4.703247480403135,1.6228748068006182
Cooking,John Wiley & Sons,19,2036,2588,0.9332023575638507,0.7341576506955177
Cooking,Macmillan,22,1233,2588,1.7842660178426604,0.8500772797527048
Cooking,Open Road Media,6,983,2588,0.6103763987792472,0.23183925811437403
Cooking,Oxford University Press,2,813,2588,0.24600246002460024,0.07727975270479134
Cooking,"Oxford University Press, USA",1,758,2588,0.13192612137203166,0.03863987635239567
Cooking,Penguin,56,2871,2588,1.9505398815743642,2.1638330757341575
Cooking,Random House,15,853,2588,1.7584994138335288,0.5795981452859351
Cooking,Simon and Schuster,71,3548,2588,2.0011273957158964,2.743431221020093
Cooking,Univ of California Press,10,590,2588,1.694915254237288,0.38639876352395675
Cooking,Vintage,11,1022,2588,1.076320939334638,0.4250386398763524
Cooking,W. W. Norton & Company,5,578,2588,0.8650519031141869,0.19319938176197837
Cooking,iUniverse,2,970,2588,0.2061855670103093,0.07727975270479134
Education,Cambridge University Press,21,1486,2638,1.4131897711978465,0.796057619408643
