genre,publisher,count
Science,Open Road Media,4
Science,Oxford University Press,33
Science,"Oxford University Press, USA",24
Science,Penguin,27
Science,Random House,9
Science,Routledge,37
Science,Simon and Schuster,29
Science,Springer Science & Business Media,241
Science,Univ of California Press,14
Science,Unknown,186
Science,Vintage,8
Science,iUniverse,5
Social Science,Cambridge University Press,46
Social Science,Courier Corporation,17
Social Science,Hachette UK,11
Social Science,Harper Collins,45
Social Science,HarperCollins,8
Social Science,Houghton Mifflin Harcourt,10
Social Science,John Wiley & Sons,34
Social Science,Macmillan,15
Social Science,Open Road Media,10
Social Science,Oxford University Press,37
Social Science,"Oxford University Press, USA",28
Social Science,Penguin,37
Social Science,Random House,18
Social Science,Routledge,331
Social Science,Simon and Schuster,50
Social Science,Springer Science & Business Media,10
Social Science,Univ of California Press,47
Social Science,Unknown,285
Social Science,Vintage,53
Social Science,iUniverse,10
Sports & Recreation,Courier Corporation,5
Sports & Recreation,Hachette UK,8
Sports & Recreation,Harper Collins,22
Sports & Recreation,HarperCollins,5
Sports & Recreation,Houghton Mifflin Harcourt,6
Sports & Recreation,John Wiley & Sons,12
Sports & Recreation,Macmillan,14
Sports & Recreation,Open Road Media,7
Sports & Recreation,Oxford University Press,1
Sports & Recreation,"Oxford University Press, USA",2
Sports & Recreation,Penguin,19
Sports & Recreation,Random House,8
Sports & Recreation,Routledge,8
Sports & Recreation,Simon and Schuster,76
Sports & Recreation,Unknown,214
Sports & Recreation,Vintage,2
Sports & Recreation,iUniverse,14
Unknown,Cambridge University Press,2
Unknown,Harper Collins,1
Unknown,HarperCollins,25
Unknown,Houghton Mifflin Harcourt,3
Unknown,John Wiley & Sons,20
Unknown,Macmillan,4
Unknown,Oxford University Press,16
Unknown,"Oxford University Press, USA",16
Unknown,Penguin,3
Unknown,Random House,2
Unknown,Routledge,82
Unknown,Simon and Schuster,4
Unknown,Springer Science & Business Media,1
Unknown,Univ of California Press,9
Unknown,Unknown,36784
Unknown,Vintage,16
Unknown,iUniverse,1
